DateTime,AddedIPs,RemovedIPs
1528509721,4,0
1528510323,1,33
1528510921,2,18
1528511522,5,0
1528512122,18,0
1528513322,3,4
1528513921,4,80
1528514521,2,0
1528515121,2,13
1528515721,3,3
1528516922,2,0
1528518122,3,47
1528520522,2,16
1528522321,2,7
1528522922,12,0
1528523522,3,0
1528524122,2,32
1528524722,2,0
1528526521,0,6
1528528321,5,0
1528528922,0,1
1528530122,9,0
1528531322,0,73
1528531892,6,0
1528533122,0,5
1528534321,0,46
1528534922,2,0
1528536121,3,26
1528537321,6,14
1528538521,2,7
1528539121,8,0
1528539722,0,3
1528540921,0,60
1528541522,1,0
1528542121,0,7
1528543322,1,3
1528543922,7,0
1528544522,2,21
1528545722,3,11
1528546322,2,0
1528546922,0,3
1528547522,2,0
1528548121,0,15
1528549321,2,7
1528550522,7,1
1528551722,1,22
1528552295,31,0
1528552921,5,5
1528554121,2,6
1528555323,2,20
1528556521,2,5
1528557121,3,12
1528557721,2,0
1528558921,0,33
1528560122,3,37
1528561322,2,0
1528561922,0,19
1528562522,4,0
1528563721,2,8
1528564921,8,74
1528566122,1,6
1528566722,0,9
1528567321,7,0
1528567922,5,57
1528568522,6,0
1528569722,1,22
1528570322,2,8
1528570922,6,0
1528572122,2,55
1528573321,0,5
1528573922,1,7
1528574523,1,0
1528575121,2,56
1528576322,11,34
1528576922,5,0
1528577521,7,3
1528578122,3,12
1528579321,0,50
1528579921,1,0
1528580522,9,7
1528582321,2,0
1528582922,3,74
1528583522,4,0
1528584122,0,3
1528585921,0,52
1528586522,1,0
1528587722,14,10
1528588321,1,0
1528588922,2,1
1528589522,0,44
1528590121,1,0
1528591321,2,36
1528592523,1,4
1528593122,1,0
1528593722,0,8
1528596122,4,2
1528597321,1,2
1528598522,2,14
1528599721,2,4
1528600922,2,30
1528602122,1,6
1528603321,2,0
1528603922,1,20
1528604522,7,0
1528605723,2,17
1528606922,2,7
1528607304,7,0
1528607544,12,14
1528608121,5,0
1528608722,8,0
1528609321,6,34
1528609921,3,0
1528610521,1,2
1528611722,0,76
1528612922,0,36
1528614122,2,7
1528615922,6,20
1528616522,11,0
1528617121,2,0
1528617721,4,3
1528618922,16,49
1528620122,0,2
1528621321,1,16
1528621922,5,0
1528623122,0,16
1528623722,1,4
1528624922,2,11
1528626123,5,0
1528627322,2,31
1528628521,2,13
1528629121,2,0
1528629722,9,0
1528630921,3,1
1528632122,1,63
1528633323,0,4
1528633922,3,0
1528634522,1,0
1528635722,0,59
1528636922,2,0
1528638122,9,0
1528638722,19,17
1528639322,18,3
1528640522,5,0
1528641722,1,1
1528642322,3,0
1528642922,3,11
1528645322,1,0
1528645922,2,26
1528646521,3,1
1528647722,2,0
1528648922,2,72
1528650122,1,1
1528651322,5,0
1528652521,4,0
1528653721,4,2
1528654922,0,11
1528656122,0,51
1528657322,27,1
1528658522,27,40
1528659721,8,47
1528660921,5,21
1528662121,6,22
1528663323,5,0
1528664521,5,66
1528666321,7,5
1528666922,7,0
1528668122,2,13
1528668722,9,0
1528669321,1,1
1528669922,1,0
1528670522,20,0
1528671121,5,0
1528671722,2,12
1528672921,6,17
1528674122,1,1
1528675322,6,6
1528675922,9,0
1528676522,3,35
1528677122,0,6
1528677722,1,0
1528678321,4,3
1528678921,0,29
1528680122,3,4
1528680722,1,0
1528681322,13,0
1528682522,17,15
1528683122,2,0
1528683722,4,4
1528684322,8,58
1528684922,13,0
1528685521,0,11
1528686122,2,0
1528686722,3,0
1528687322,4,1
1528687921,0,23
1528688522,2,0
1528689122,4,3
1528689722,6,0
1528690322,5,15
1528690922,10,2
1528691522,5,3
1528692122,3,0
1528693322,14,16
1528694522,3,0
1528695121,3,3
1528695722,2,4
1528696922,9,1
1528698122,1,7
1528699321,3,13
1528699921,4,6
1528700522,4,8
1528701121,6,0
1528701721,5,4
1528702322,1,0
1528702922,7,38
1528703521,1,5
1528704122,6,4
1528704721,4,0
1528705323,6,2
1528706521,9,29
1528707122,3,0
1528707721,3,0
1528708921,3,43
1528710122,1,11
1528711322,28,64
1528712521,12,0
