DateTime,AddedIPs,RemovedIPs
1527517227,6,0
1527521051,12,33
1527527070,10,36
1527530895,16,19
1527532811,15,20
1527534734,10,8
1527538571,4,12
1527541725,11,27
1527545556,27,42
1527547455,24,0
1527549378,16,15
1527551310,15,16
1527553212,12,23
1527555133,19,0
1527557071,20,22
1527560891,20,34
1527568588,22,69
1527570512,6,28
1527576275,17,58
1527578176,23,25
1527580094,22,16
1527582032,8,10
1527583933,11,9
1527585870,7,19
1527587790,8,7
1527589694,12,11
1527591641,15,12
1527593535,18,14
1527595472,20,14
1527597372,4,26
1527601226,10,36
1527603139,9,21
1527605053,16,7
1527608894,20,16
1527610833,5,0
1527613480,7,12
1527617298,11,14
1527619235,4,13
1527621136,16,11
1527623072,20,0
1527624978,8,5
1527626908,24,0
1527628826,9,8
1527630732,5,0
1527632653,22,19
1527634595,10,24
1527636495,15,21
1527638436,16,16
1527640352,6,17
1527642258,18,24
1527644189,5,24
1527648012,6,22
1527649952,4,0
1527651854,26,0
1527653771,18,0
1527655694,25,28
1527657629,17,7
1527659533,12,0
1527663375,19,21
1527667244,22,44
1527669156,7,5
1527671057,6,14
1527672973,4,8
1527674896,6,7
1527678741,9,34
1527680920,20,23
1527682839,11,27
1527684751,10,6
1527686656,18,0
1527688590,8,11
1527690490,17,9
1527692429,9,13
1527694351,14,0
1527696261,10,17
1527698196,11,4
1527700360,20,6
1527702257,24,0
1527704181,6,8
1527708017,9,19
1527709932,9,16
1527711872,18,7
1527713772,8,28
1527715709,27,9
1527717636,18,4
1527720153,15,17
1527722173,23,10
1527724089,14,17
1527726024,26,15
1527727941,12,3
1527729851,24,17
1527731782,18,8
1527733691,16,0
1527735617,16,4
1527737548,14,6
1527739468,20,23
1527741369,11,19
1527743292,17,24
1527745209,24,12
1527747134,20,14
1527749054,13,0
1527750969,15,19
1527752888,19,0
1527754808,6,22
1527756745,19,6
1527758651,10,5
1527760586,10,4
1527762493,5,5
1527764426,4,0
1527766345,12,12
1527770170,4,34
1527772092,9,11
1527775935,19,24
1527777776,36,19
1527779766,7,10
1527781702,15,11
1527783614,13,8
1527785791,6,10
1527787952,11,14
1527789864,21,23
1527792023,5,9
1527793953,19,0
1527795853,18,8
1527797770,9,7
1527801615,6,21
1527803530,7,26
1527805465,17,14
1527807384,22,16
1527809801,6,22
1527811697,11,17
1527813612,27,24
1527815536,14,21
1527817468,27,19
1527819378,26,19
1527821311,21,17
1527823209,26,15
1527825155,26,17
1527827054,37,17
1527829001,11,8
1527830894,22,25
1527834755,7,43
1527836658,21,18
1527838586,23,17
1527844340,9,55
1527850098,25,26
1527852024,23,4
1527853931,18,13
1527855857,26,0
1527857781,10,6
1527859691,22,13
1527861629,27,0
1527863549,4,14
1527867389,13,33
1527869333,10,20
1527873381,22,19
1527875304,19,9
1527877214,18,19
1527879131,8,8
1527881067,28,17
1527884892,20,29
1527886836,30,0
1527888751,19,7
1527890662,18,6
1527892885,21,18
1527894998,15,17
1527898808,28,16
1527900743,12,24
1527904581,15,34
1527908415,21,43
1527910347,6,20
1527912256,21,24
1527914984,15,33
1527919338,33,27
1527921713,24,6
1527923874,24,22
1527926509,23,22
1527929144,14,0
1527931306,6,8
1527933724,2,0
1527935857,23,0
1527938514,16,37
1527940947,22,16
1527943306,26,30
1527945472,23,9
1527947626,19,21
1527949542,30,22
1527951944,0,0
1527954346,12,11
1527956974,23,6
1527959105,11,0
1527961734,22,35
1527964143,22,17
1527966542,18,8
1527968941,17,28
1527971099,14,0
1527973270,21,58
1527975412,20,18
1527977831,23,22
1527980220,19,18
1527982421,28,15
1527984788,24,0
1527987170,34,43
1527989590,13,0
1527991981,14,20
1527994470,19,0
1527999200,20,27
1528001592,23,43
1528004239,29,0
1528006102,24,32
1528008016,10,0
1528013815,10,42
1528015743,12,23
1528019580,7,22
1528021492,25,2
1528023411,26,0
1528025347,17,26
1528027292,23,16
1528029136,19,16
1528031111,23,25
1528032972,20,0
1528034896,17,22
1528038737,14,43
1528042598,28,32
1528044497,13,0
1528046414,21,22
1528048389,9,15
1528050262,27,24
1528052169,15,24
1528054098,25,0
1528057940,4,35
1528059865,14,16
1528061778,19,22
1528063694,21,23
1528066224,25,22
1528068252,26,18
1528070175,25,25
1528072085,23,0
1528074014,9,30
1528075945,33,33
1528077855,28,13
1528079779,12,12
1528081785,27,0
1528085544,27,14
1528087453,33,26
1528091307,28,51
1528093230,18,23
1528095126,20,9
1528097063,26,0
1528098965,16,0
1528102835,15,23
1528108579,6,29
1528110500,6,31
1528112410,10,22
1528116251,24,51
1528118171,13,21
1528122005,18,40
1528123926,7,0
1528125857,28,16
1528128274,10,0
1528130171,8,24
1528132093,2,17
1528134026,7,23
1528135938,6,7
1528137854,15,30
1528139784,20,13
1528141696,17,26
1528143612,5,0
1528147459,22,17
1528149370,11,20
1528151302,21,26
1528153232,11,25
1528155134,7,23
1528160896,5,67
1528164735,20,68
1528166661,26,14
1528168576,16,28
1528170523,16,0
1528172420,34,28
1528174335,12,32
1528176265,21,0
1528178173,8,31
1528180094,25,12
1528183949,16,54
1528185860,7,22
1528187774,12,0
1528191617,6,23
1528193541,15,0
1528195468,33,12
1528197375,21,8
1528199295,26,7
1528203139,20,32
1528205052,31,13
1528206968,25,0
1528208903,27,24
1528210827,15,5
1528213720,24,29
1528215619,19,12
1528219455,30,18
1528221373,12,6
1528223295,31,7
1528225233,8,17
1528227150,12,20
1528229311,7,17
1528231225,6,5
1528233141,30,0
1528235551,9,24
1528239729,9,39
1528241545,3,6
1528243456,4,0
1528245369,13,0
1528247302,6,5
1528249212,6,0
1528251135,17,0
1528254968,16,38
1528256898,22,14
1528258812,8,19
1528264565,7,74
1528266488,31,5
1528268410,10,26
1528270328,28,0
1528274165,14,27
1528278007,9,12
1528279931,24,5
1528281860,25,13
1528283765,32,37
1528285688,27,20
1528289541,11,46
1528291448,30,0
1528293364,8,25
1528297217,10,59
1528299142,10,15
1528302966,7,48
1528304886,5,0
1528306806,8,35
1528309782,27,45
1528313467,25,9
1528322813,8,63
1528325344,36,0
1528330119,14,19
1528333290,8,12
1528335410,25,8
1528337294,11,7
1528339217,17,12
1528341149,34,0
1528343148,28,24
1528344988,14,30
1528346897,21,11
1528348809,24,0
1528350741,22,0
1528352653,29,5
1528354572,25,31
1528356497,23,9
1528358431,21,29
1528360336,19,0
1528362273,28,16
1528364190,9,0
1528366096,11,9
1528368026,22,23
1528369939,20,24
1528371854,21,27
1528373791,17,28
1528375692,28,0
1528377618,20,9
1528379548,15,26
1528383635,17,16
1528387459,27,10
1528391310,11,8
1528393217,13,9
1528395136,26,0
1528397065,23,24
1528400905,30,31
1528402811,15,0
1528404733,5,0
1528406665,20,0
1528408574,17,0
1528411095,9,6
1528412899,20,23
1528414820,14,0
1528416730,10,9
1528418664,29,0
1528420566,20,7
1528422485,24,22
1528428255,33,51
1528430266,11,25
1528432088,21,13
1528434017,7,20
1528436046,30,23
1528437859,9,26
1528439777,10,24
1528441698,13,14
1528443614,12,17
1528445543,34,22
1528447453,23,16
1528449372,14,34
1528451423,36,9
1528453457,24,14
1528455364,10,26
1528457286,29,20
1528459233,15,25
1528461136,20,14
1528463050,11,30
1528464965,22,18
1528469555,22,17
1528473369,19,18
1528477237,10,25
1528479139,14,11
1528481063,7,13
1528482980,17,26
1528486865,12,26
1528488742,24,27
1528490652,23,16
1528492590,21,4
1528494496,25,23
1528496420,10,14
1528500490,17,22
1528502415,21,13
1528504341,30,10
1528506254,21,28
1528508169,33,19
1528510104,20,27
1528512008,12,0
1528513931,25,0
1528517769,18,44
1528521618,29,32
1528523529,21,34
1528525451,33,11
1528527379,16,13
1528533144,14,55
1528535058,9,26
1528538891,5,51
1528542737,13,36
1528544652,30,29
1528546581,23,11
1528550408,11,32
1528552342,11,21
1528554255,29,0
1528558089,26,23
1528560015,17,21
1528561942,25,0
1528563860,11,9
1528567699,6,14
1528569608,10,17
1528571531,20,0
1528573451,29,13
1528577300,27,44
1528579209,9,23
1528581143,14,23
1528583062,15,13
1528586443,11,0
1528588334,25,18
1528590272,24,20
1528592171,15,21
1528594092,27,17
1528597945,36,61
1528599858,10,12
1528601804,12,28
1528603704,39,0
1528605614,27,19
1528609458,22,32
1528611377,31,23
1528615210,23,55
1528617133,15,0
1528619056,22,0
1528620983,22,16
1528622892,3,12
1528624827,4,0
1528626744,10,6
1528628659,4,0
1528632505,9,51
1528634412,24,22
1528636591,26,0
1528638530,35,11
1528640415,15,10
1528644282,30,25
1528646170,15,27
1528648090,23,16
1528650026,21,25
1528651946,6,12
1528653880,36,0
1528655782,23,7
1528659624,7,22
1528661551,6,29
1528663458,31,0
1528666860,15,29
1528668982,18,10
1528672822,24,14
1528674739,15,32
1528676654,23,0
1528678576,18,30
1528684351,21,60
1528686275,11,9
1528690099,13,11
1528692015,18,59
1528693938,15,0
1528695861,27,16
1528697775,23,0
1528699692,26,32
1528703551,24,37
1528707370,24,20
1528709298,8,22
1528711251,17,4
